city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
lima,0.0,MK,1578341026.0,60.0,41.2,22.58,3.33,6.71
sentyabrskiy,100.0,BR,1578341026.0,92.0,-15.12,-40.07,23.92,1.52
tuktoyaktuk,40.0,US,1578340741.0,53.0,30.09,-94.1,24.0,3.6
stoyba,89.0,ID,1578340957.0,91.0,-0.92,100.36,20.14,2.3
singkawang,40.0,NI,1578341027.0,55.0,11.85,-86.44,31.0,7.2
perth,40.0,MX,1578340803.0,64.0,21.23,-86.73,24.0,1.5
bogdanci,90.0,CA,1578340950.0,92.0,45.36,-73.48,-1.11,4.6
itororo,100.0,BR,1578341027.0,89.0,-15.65,-40.06,24.85,1.56
beaumont,95.0,IN,1578341027.0,93.0,28.17,94.8,6.98,1.97
padang,88.0,NG,1578340952.0,28.0,12.18,6.51,21.49,5.32
san rafael del sur,1.0,US,1578340841.0,36.0,36.6,-121.89,17.0,3.6
isla mujeres,71.0,IS,1578340954.0,58.0,63.44,-20.27,4.88,9.3
saint-philippe,47.0,BR,1578340940.0,84.0,-30.17,-50.22,24.88,7.11
itarantim,5.0,TH,1578341028.0,75.0,6.87,101.37,26.6,5.1
along,0.0,KM,1578341028.0,76.0,-12.28,43.74,28.19,3.18
auki,96.0,AU,1578341028.0,78.0,-25.54,152.7,22.82,1.82
monterey,6.0,IN,1578340935.0,89.0,15.34,74.49,18.78,2.36
vestmannaeyjar,0.0,AU,1578340898.0,51.0,-33.21,138.6,17.5,4.39
cidreira,100.0,ZA,1578340884.0,63.0,-34.53,20.04,18.0,0.5
armacao dos buzios,20.0,PH,1578340962.0,78.0,14.29,120.72,25.0,5.68
yaring,1.0,US,1578340851.0,68.0,60.79,-161.76,-28.0,2.6
fomboni,75.0,CA,1578340936.0,67.0,62.45,-114.38,-30.0,2.6
maryborough,0.0,AU,1578341029.0,91.0,-35.34,143.56,12.22,1.34
vaini,100.0,ZA,1578340943.0,77.0,-34.42,19.24,18.89,0.89
jamestown,20.0,NO,1578341029.0,80.0,62.91,6.91,9.0,7.2
bredasdorp,75.0,US,1578340930.0,57.0,19.71,-155.08,27.0,6.22
ternate,95.0,PG,1578341029.0,75.0,-6.6,147.85,28.66,4.8
bethel,100.0,RU,1578340786.0,94.0,66.77,123.37,-19.26,7.74
yellowknife,0.0,JP,1578340986.0,55.0,39.28,141.86,-2.13,2.07
swan hill,0.0,IR,1578340819.0,59.0,28.97,50.84,17.0,3.1
hermanus,68.0,TH,1578341030.0,78.0,6.84,101.18,26.08,5.47
bud,75.0,EC,1578340938.0,62.0,-0.74,-90.35,29.0,6.7
hilo,90.0,AU,1578341030.0,83.0,-23.53,148.16,24.0,4.1
taolanaro,84.0,NZ,1578340937.0,87.0,-46.19,168.86,11.67,1.34
finschhafen,100.0,RU,1578340928.0,95.0,60.47,166.1,-15.75,3.32
zhigansk,85.0,UG,1578341030.0,49.0,2.77,32.3,24.55,1.5
kamaishi,40.0,BR,1578341030.0,83.0,-16.25,-44.16,25.0,4.6
bushehr,0.0,EG,1578341012.0,32.0,24.09,32.9,13.0,1.0
nong chik,100.0,KI,1578340761.0,79.0,3.07,172.79,29.49,8.5
puerto ayora,100.0,MV,1578340874.0,73.0,-0.6,73.08,28.77,5.71
emerald,20.0,BB,1578340958.0,62.0,13.22,-59.52,29.0,7.7
mataura,0.0,AU,1578340866.0,33.0,-33.64,115.35,17.22,4.49
nizhneyansk,66.0,PG,1578340940.0,72.0,-2.57,150.8,29.21,2.93
tilichiki,1.0,US,1578341031.0,43.0,35.62,-117.67,13.89,1.64
gulu,1.0,US,1578341031.0,62.0,36.62,-121.92,17.22,8.91
bengkulu,100.0,CN,1578341031.0,71.0,40.71,112.04,-13.0,1.0
mirabela,5.0,PT,1578340794.0,83.0,41.42,-6.55,2.68,0.63
aswan,27.0,ID,1578341032.0,93.0,-0.42,102.29,22.4,0.87
butaritari,99.0,CN,1578341032.0,93.0,44.93,130.53,-12.46,1.53
hithadhoo,98.0,JP,1578340791.0,76.0,31.42,130.32,11.67,1.34
bathsheba,0.0,DZ,1578340955.0,18.0,27.87,-0.29,16.0,7.2
nao-me-toque,100.0,ID,1578341032.0,94.0,-2.54,115.51,23.59,0.26
busselton,100.0,RU,1578341032.0,96.0,60.35,102.28,-11.4,3.7
kavieng,75.0,PT,1578340733.0,93.0,37.73,-25.67,18.0,5.1
ridgecrest,1.0,CM,1578340928.0,96.0,2.91,11.16,21.18,1.06
pacific grove,90.0,CA,1578340954.0,57.0,63.75,-68.52,-24.0,5.7
zhuhai,0.0,NE,1578341033.0,19.0,14.97,8.88,17.62,5.99
saldanha,40.0,AR,1578341033.0,44.0,-24.79,-65.41,31.0,5.1
japura,40.0,CL,1578341033.0,25.0,-22.46,-68.93,23.0,10.8
bamiantong,100.0,NG,1578340945.0,62.0,5.43,7.07,29.0,1.0
kaseda,0.0,CN,1578340830.0,45.0,42.84,93.51,-7.37,0.25
adrar,20.0,US,1578340818.0,54.0,20.89,-156.47,26.0,6.2
labuhan,81.0,ZA,1578341033.0,88.0,-28.47,30.16,18.59,0.89
vanavara,75.0,US,1578340887.0,57.0,30.04,-94.42,24.0,3.1
ponta delgada,90.0,CA,1578340761.0,92.0,47.66,-52.73,-1.67,5.7
elat,100.0,ZA,1578340769.0,65.0,-30.97,22.13,19.44,7.32
iqaluit,100.0,GL,1578340884.0,92.0,65.61,-37.64,-6.97,18.47
tanout,0.0,CN,1578341034.0,91.0,31.78,104.73,-0.06,0.93
salta,90.0,GL,1578341034.0,59.0,64.17,-51.74,-18.0,4.6
calama,100.0,BR,1578340864.0,94.0,-11.18,-61.9,26.22,2.11
naze,56.0,FR,1578341034.0,83.0,46.33,2.6,5.56,3.48
solovetskiy,92.0,SN,1578340945.0,40.0,14.69,-16.54,22.0,6.2
hami,20.0,ES,1578340956.0,72.0,28.66,-17.92,18.0,5.1
kahului,33.0,JP,1578341034.0,63.0,43.11,144.15,-3.57,3.0
ekuvukeni,75.0,AU,1578340819.0,77.0,-42.88,147.33,15.0,3.1
mys shmidta,0.0,RU,1578340781.0,70.0,68.75,161.3,-26.22,2.46
nome,100.0,ZA,1578340941.0,85.0,-28.77,32.06,25.7,6.28
torbay,100.0,NA,1578340968.0,72.0,-26.65,15.16,19.0,8.2
carnarvon,100.0,CN,1578340977.0,91.0,34.79,109.94,1.95,5.05
tasiilaq,82.0,HN,1578341035.0,70.0,14.68,-86.92,21.6,4.24
jiangyou,90.0,CA,1578340828.0,77.0,55.74,-97.86,-18.0,2.1
nuuk,75.0,MX,1578341035.0,65.0,18.53,-92.64,25.0,2.04
presidente medici,0.0,NZ,1578340969.0,68.0,-46.28,169.85,12.78,3.58
montlucon,100.0,RU,1578341035.0,94.0,59.99,45.81,-11.5,2.66
gat,100.0,AU,1578340778.0,64.0,-23.7,133.88,21.0,7.85
los llanos de aridane,20.0,CA,1578340989.0,78.0,53.65,-115.58,-10.0,2.6
kushiro,90.0,AU,1578341036.0,94.0,-15.77,128.74,26.0,1.5
hobart,100.0,AU,1578341036.0,81.0,-12.05,134.23,25.2,1.95
cherskiy,75.0,MU,1578340980.0,94.0,-19.98,57.61,26.67,1.0
richards bay,40.0,AU,1578341036.0,88.0,-16.99,145.42,26.0,3.1
luderitz,40.0,BS,1578341036.0,55.0,26.54,-77.06,20.73,3.6
dali,75.0,CU,1578341036.0,60.0,23.15,-81.92,25.0,5.7
karkaralinsk,40.0,AR,1578340841.0,42.0,-45.87,-67.48,19.0,8.7
san cristobal,1.0,US,1578341016.0,26.0,35.38,-77.99,17.0,2.6
thompson,20.0,MX,1578340690.0,47.0,22.89,-109.91,26.67,1.5
frontera,0.0,MM,1578341037.0,93.0,20.78,97.03,10.72,0.14
kaitangata,0.0,RU,1578341037.0,73.0,66.32,-179.17,-25.75,2.21
kichmengskiy gorodok,20.0,FR,1578341037.0,86.0,48.95,4.24,5.0,7.2
alice springs,75.0,MU,1578340769.0,94.0,-20.41,57.7,26.67,1.0
mackay,40.0,MX,1578341037.0,79.0,15.86,-97.07,29.0,3.6
kununurra,75.0,RU,1578341037.0,92.0,53.25,50.49,-4.0,1.93
maningrida,75.0,ZA,1578340775.0,94.0,-33.02,27.91,21.0,1.0
cap malheureux,20.0,US,1578340957.0,72.0,64.84,-147.72,-32.22,0.14
mareeba,0.0,IR,1578341038.0,86.0,36.19,50.06,-2.0,1.0
marsh harbour,90.0,CA,1578340803.0,70.0,54.32,-130.32,0.0,3.6
santa cruz del norte,0.0,RU,1578340962.0,72.0,69.7,170.27,-22.98,2.16
comodoro rivadavia,0.0,PT,1578340836.0,76.0,37.14,-8.45,12.78,1.0
goldsboro,26.0,UY,1578340798.0,48.0,-33.69,-53.46,27.51,2.39
cabo san lucas,100.0,UY,1578340812.0,30.0,-34.48,-54.34,26.08,5.9
taunggyi,100.0,RU,1578340875.0,94.0,71.98,102.47,-11.61,5.3
egvekinot,100.0,AU,1578341038.0,61.0,-20.73,139.49,26.0,1.0
saint-pierre,69.0,RU,1578341039.0,82.0,51.48,107.36,-28.0,2.04
mahebourg,54.0,CV,1578341039.0,56.0,16.18,-22.92,22.0,9.8
puerto escondido,54.0,AR,1578340932.0,36.0,-38.31,-60.23,21.33,8.62
alekseyevka,100.0,CN,1578341039.0,94.0,33.9,117.93,5.94,4.82
east london,100.0,MV,1578341039.0,75.0,5.1,73.07,27.91,8.38
fairbanks,20.0,CL,1578340921.0,53.0,-29.95,-71.34,23.0,5.7
alvand,75.0,NO,1578341039.0,100.0,66.28,14.07,5.0,1.0
prince rupert,39.0,CN,1578340972.0,95.0,21.85,111.96,17.6,0.73
pevek,83.0,RU,1578340906.0,87.0,65.58,-170.99,-23.06,1.04
lagoa,79.0,GF,1578340930.0,58.0,4.94,-52.33,30.0,5.1
nguiu,97.0,CN,1578340929.0,70.0,42.27,118.96,-9.43,1.95
chuy,1.0,US,1578340852.0,34.0,35.53,-108.74,4.0,2.6
rocha,65.0,ID,1578340827.0,80.0,4.14,96.13,27.08,2.86
khatanga,40.0,AU,1578340920.0,94.0,-31.43,152.91,22.78,2.75
mount isa,0.0,RU,1578340760.0,76.0,69.38,178.42,-22.94,4.44
samusu,90.0,CA,1578340981.0,84.0,49.78,-74.86,-13.0,4.1
tumannyy,0.0,IN,1578340849.0,94.0,24.8,93.94,6.44,1.98
tarbagatay,100.0,BR,1578340994.0,85.0,-17.73,-39.27,25.3,5.59
sal rei,0.0,UA,1578341041.0,93.0,51.2,29.09,-3.67,2.32
barrow,68.0,RU,1578341041.0,90.0,66.08,76.63,-14.78,5.59
asau,90.0,US,1578340938.0,48.0,39.95,-94.76,6.67,3.1
suicheng,20.0,CA,1578340967.0,64.0,65.28,-126.83,-42.0,1.0
eydhafushi,0.0,SA,1578340990.0,51.0,18.39,42.45,15.0,2.6
coquimbo,1.0,US,1578340761.0,21.0,32.72,-102.64,15.0,9.3
hauknes,0.0,TD,1578341042.0,22.0,13.83,20.83,21.28,4.16
yangjiang,0.0,PE,1578340805.0,30.0,-13.71,-76.2,22.78,6.2
lavrentiya,100.0,RU,1578341042.0,87.0,53.97,38.53,-4.1,2.36
cayenne,75.0,BN,1578340777.0,78.0,5.28,115.24,27.0,1.0
chifeng,41.0,KE,1578341042.0,53.0,1.75,40.07,29.29,4.57
gallup,97.0,TZ,1578341042.0,91.0,-6.72,32.06,18.91,0.47
meulaboh,41.0,BW,1578341043.0,32.0,-22.27,28.75,28.68,8.55
kegalla,100.0,RU,1578340970.0,91.0,64.42,-173.23,-22.48,1.75
port macquarie,2.0,AR,1578340932.0,27.0,-42.77,-65.04,20.5,5.66
leningradskiy,0.0,CZ,1578341043.0,100.0,48.73,14.32,-1.11,0.97
koungou,40.0,OM,1578340982.0,78.0,17.01,54.1,25.0,1.5
chapais,0.0,RU,1578340964.0,96.0,68.54,146.19,-29.94,1.24
imphal,99.0,MR,1578341043.0,12.0,20.52,-13.05,13.25,4.24
caravelas,0.0,IN,1578341043.0,51.0,20.23,79.0,17.03,2.02
narodychi,90.0,BZ,1578341015.0,83.0,16.17,-88.94,22.0,1.37
novyy urengoy,82.0,SB,1578340759.0,83.0,-10.46,161.92,27.48,3.92
kodiak,76.0,MV,1578341044.0,80.0,2.67,72.89,27.88,6.96
norman wells,90.0,FR,1578340883.0,93.0,45.6,-0.6,5.0,1.5
faya,100.0,TR,1578341044.0,99.0,41.02,34.04,-1.98,1.8
seminole,40.0,NO,1578340979.0,55.0,78.22,15.63,-12.0,8.7
abeche,90.0,CA,1578341044.0,78.0,49.22,-68.15,-6.11,4.1
pisco,35.0,PF,1578340949.0,79.0,-16.48,-151.75,27.47,6.91
kimovsk,5.0,JP,1578340833.0,73.0,43.32,145.57,-0.81,13.45
victoria,0.0,US,1578340774.0,31.0,37.17,-99.65,10.0,8.05
illoqqortoormiut,100.0,NP,1578341045.0,54.0,28.53,81.12,14.14,0.48
wajir,0.0,MX,1578341045.0,70.0,20.87,-90.4,22.99,7.22
saleaula,100.0,RU,1578340864.0,94.0,73.51,80.55,-10.54,5.54
inyonga,5.0,IT,1578341045.0,41.0,41.0,15.66,6.0,44.8
bardiyah,100.0,MV,1578341003.0,81.0,6.88,73.1,27.57,5.79
mathathane,100.0,RU,1578340979.0,89.0,58.84,125.49,-11.56,5.01
provideniya,20.0,TO,1578340849.0,74.0,-19.8,-174.35,27.0,3.6
puerto madryn,40.0,ET,1578340930.0,76.0,8.96,38.73,14.0,3.1
slubice,90.0,CA,1578340894.0,74.0,70.47,-68.59,-32.0,4.1
salalah,90.0,CA,1578340816.0,75.0,60.72,-135.06,-23.89,1.5
belaya gora,98.0,TL,1578340990.0,78.0,-8.93,125.41,19.73,2.12
atar,100.0,GL,1578340941.0,86.0,72.79,-56.15,-19.98,4.65
warora,6.0,GA,1578341046.0,71.0,-1.38,13.16,23.82,0.98
laguna,40.0,AR,1578340982.0,51.0,-51.62,-69.22,17.0,3.6
kirakira,100.0,RU,1578341047.0,89.0,55.65,109.32,-8.29,2.87
kudahuvadhoo,0.0,IT,1578341047.0,91.0,45.01,8.65,6.67,1.0
souillac,40.0,IN,1578341047.0,100.0,12.96,77.22,19.0,1.0
marcona,100.0,RU,1578341047.0,94.0,59.08,42.29,-8.02,2.95
tosya,67.0,SO,1578341047.0,83.0,7.98,49.82,26.42,8.17
longyearbyen,3.0,SO,1578340890.0,84.0,2.04,45.34,27.41,10.3
baie-comeau,40.0,GR,1578340970.0,48.0,39.45,22.34,4.0,5.7
faanui,0.0,IR,1578341047.0,61.0,30.12,55.12,3.81,0.66
nemuro,20.0,CA,1578340924.0,66.0,68.22,-135.01,-34.0,1.0
sitka,75.0,BO,1578341048.0,55.0,-19.0,-57.72,34.0,3.6
tikapur,0.0,OM,1578340896.0,78.0,22.93,57.53,17.07,0.97
celestun,93.0,BY,1578341048.0,95.0,54.51,30.43,-2.62,4.06
selishche,20.0,LR,1578341048.0,78.0,5.88,-10.05,25.0,1.5
eskasem,90.0,RU,1578341048.0,100.0,43.63,44.06,-3.0,1.0
dikson,100.0,ID,1578341048.0,78.0,-6.53,110.7,28.04,8.78
melfi,0.0,ET,1578341049.0,51.0,8.53,34.8,21.43,0.66
dhidhdhoo,1.0,US,1578340845.0,28.0,34.64,-120.46,22.22,5.7
nizhniy kuranakh,35.0,PE,1578340962.0,91.0,-5.56,-80.82,21.49,8.44
pangai,74.0,ID,1578341049.0,79.0,-9.65,120.26,28.51,10.02
lebu,80.0,CO,1578340990.0,64.0,5.36,-74.39,27.02,1.89
clyde river,20.0,NO,1578341049.0,80.0,70.24,22.35,2.0,4.6
barawe,0.0,PT,1578341049.0,87.0,38.45,-9.1,11.11,2.6
whitehorse,100.0,RU,1578340967.0,90.0,65.44,52.15,-10.53,2.77
airai,75.0,CY,1578340774.0,77.0,34.92,32.53,16.0,8.7
upernavik,67.0,BT,1578341050.0,64.0,27.58,89.86,-2.09,1.66
stamsund,75.0,AU,1578341050.0,77.0,-43.03,147.26,15.0,3.1
mounana,0.0,YE,1578341050.0,59.0,14.4,46.47,16.25,1.43
rio gallegos,28.0,ZA,1578341050.0,37.0,-23.32,30.73,25.9,2.54
severobaykalsk,100.0,NZ,1578341050.0,65.0,-35.94,173.86,15.43,5.94
valenza,100.0,AU,1578340843.0,72.0,-20.74,116.85,29.84,2.07
magadi,100.0,AO,1578341051.0,92.0,-14.66,17.68,18.43,1.77
soligalich,100.0,MV,1578340814.0,75.0,5.67,73.0,28.08,9.32
eyl,1.0,US,1578341051.0,10.0,33.39,-104.52,17.22,11.8
mogadishu,40.0,ID,1578341051.0,100.0,-5.32,119.37,25.0,1.0
safaqis,90.0,US,1578340976.0,76.0,43.37,-124.22,12.0,5.7
saint george,20.0,CN,1578341051.0,77.0,22.81,114.46,21.67,4.0
shahr-e babak,20.0,EC,1578341051.0,79.0,0.61,-80.02,30.0,4.1
aklavik,90.0,CN,1578341051.0,100.0,31.63,117.88,4.0,4.0
tabukiniberu,94.0,CN,1578341052.0,95.0,50.78,121.52,-15.54,1.4
puerto quijarro,75.0,GL,1578340930.0,70.0,69.22,-51.1,-19.0,4.1
nizwa,75.0,JP,1578340820.0,68.0,26.12,127.67,21.0,3.6
attawapiskat,91.0,GA,1578341052.0,85.0,1.63,11.31,22.18,1.31
orsha,1.0,NG,1578341052.0,33.0,10.31,9.75,20.32,2.41
buchanan,75.0,GB,1578340989.0,93.0,52.47,1.45,8.33,4.6
mayskiy,100.0,UY,1578341052.0,45.0,-33.53,-58.22,26.11,5.36
mlonggo,20.0,CA,1578340821.0,50.0,54.13,-108.44,-14.0,9.3
dembi dolo,16.0,PG,1578341052.0,87.0,-5.56,150.15,25.47,1.1
barentsburg,75.0,BR,1578341052.0,70.0,-15.89,-52.26,29.0,3.1
lompoc,95.0,CN,1578341053.0,92.0,36.62,101.77,-9.26,0.68
sechura,33.0,AR,1578341053.0,32.0,-31.62,-60.7,29.44,4.02
waingapu,90.0,US,1578340808.0,80.0,41.7,-71.42,3.33,2.65
la palma,88.0,CN,1578341053.0,31.0,28.28,88.52,-11.53,0.82
mentok,66.0,NG,1578341053.0,23.0,12.86,8.84,19.89,4.7
oksfjord,1.0,NE,1578341053.0,19.0,15.46,6.28,18.88,5.62
sesimbra,99.0,KZ,1578341053.0,96.0,51.09,54.08,-5.75,2.92
ust-tsilma,75.0,PT,1578341053.0,93.0,37.72,-25.43,18.0,4.6
lasa,1.0,US,1578340757.0,10.0,33.47,-117.7,26.67,4.1
punakha,100.0,TR,1578341054.0,86.0,38.67,29.41,3.95,5.05
margate,100.0,ID,1578341054.0,93.0,-4.94,122.53,24.66,0.97
marzuq,0.0,NG,1578341054.0,30.0,10.41,10.6,22.23,3.42
uwayl,50.0,GL,1578340781.0,55.0,77.48,-69.36,-23.68,3.92
giyani,75.0,MU,1578340978.0,94.0,-20.01,57.66,26.67,1.0
dargaville,75.0,HN,1578341054.0,64.0,14.25,-87.96,23.0,9.8
karratha,99.0,RU,1578341054.0,70.0,53.07,45.69,0.0,1.76
menongue,90.0,JP,1578341054.0,70.0,34.73,135.6,7.0,2.1
ugoofaaru,40.0,BR,1578340938.0,83.0,-22.97,-42.02,33.0,3.1
roswell,54.0,VU,1578341055.0,78.0,-19.55,169.27,25.0,3.6
galesong,10.0,CA,1578341055.0,65.0,50.56,-96.99,-0.56,4.47
coos bay,20.0,BR,1578340948.0,62.0,-3.71,-38.6,30.0,5.1
danshui,100.0,BR,1578341055.0,81.0,-11.81,-37.61,27.33,6.51
muisne,41.0,ZA,1578341055.0,45.0,-23.04,29.91,21.99,2.13
chaohu,65.0,SN,1578341055.0,64.0,12.49,-16.54,24.0,2.1
lolua,0.0,PE,1578341055.0,78.0,-7.84,-79.15,23.0,5.1
genhe,20.0,IS,1578340978.0,60.0,64.25,-15.21,4.0,3.6
ilulissat,1.0,US,1578340741.0,29.0,36.17,-115.15,15.0,2.27
itoman,0.0,IR,1578341055.0,86.0,32.86,59.22,-1.0,2.1
mongomo,1.0,BJ,1578340879.0,29.0,11.3,2.44,23.8,2.6
miri,21.0,AU,1578341056.0,95.0,-38.11,147.06,15.56,0.89
broome,98.0,RU,1578341056.0,95.0,51.71,143.23,-12.55,2.52
dolores,1.0,US,1578341056.0,41.0,34.41,-119.86,23.33,1.86
meadow lake,27.0,NA,1578340844.0,87.0,-22.12,14.28,17.78,0.45
kimbe,33.0,GB,1578341056.0,81.0,54.08,-0.19,8.33,4.6
barra do garcas,0.0,MM,1578341056.0,81.0,21.33,95.09,15.72,2.79
xining,0.0,RU,1578341056.0,73.0,64.73,177.51,-35.0,2.0
santa fe,75.0,CA,1578340937.0,49.0,66.15,-65.72,-33.0,2.55
warwick,1.0,US,1578341046.0,31.0,32.47,-100.41,19.44,6.7
gamba,100.0,RU,1578341057.0,50.0,44.76,136.29,-8.43,1.57
bindi,1.0,LK,1578340943.0,97.0,7.35,80.68,20.43,1.33
abalak,100.0,KR,1578341057.0,100.0,34.8,126.66,11.0,1.5
chingirlau,90.0,CA,1578340699.0,100.0,50.02,-125.24,3.0,1.5
tres lagoas,61.0,ER,1578341057.0,91.0,15.34,38.93,16.57,0.69
vila franca do campo,20.0,LR,1578341057.0,78.0,6.33,-10.8,25.0,1.5
dana point,76.0,ZM,1578341057.0,93.0,-12.84,28.09,18.26,1.63
usak,20.0,DZ,1578341057.0,87.0,36.36,6.61,6.0,1.0
katobu,20.0,US,1578341058.0,20.0,39.95,-105.17,8.0,14.4
bara,100.0,AU,1578341058.0,83.0,-41.05,145.91,16.11,2.24
qaanaaq,75.0,MU,1578340759.0,94.0,-20.34,57.76,26.67,1.0
macaboboni,100.0,AO,1578341058.0,92.0,-8.42,20.74,20.83,1.32
grand gaube,0.0,RO,1578341058.0,62.0,45.1,24.1,-2.81,0.8
san jose,20.0,CO,1578340958.0,49.0,5.66,-67.63,34.0,8.2
sursk,9.0,RU,1578340760.0,77.0,69.3,139.9,-27.46,0.46
kadoma,0.0,YE,1578341058.0,49.0,14.3,44.38,13.28,2.52
arraial do cabo,100.0,PH,1578341059.0,94.0,7.45,126.58,21.91,1.33
isangel,40.0,RU,1578340925.0,92.0,69.49,88.39,-12.0,10.0
husavik,1.0,US,1578340966.0,81.0,40.6,-124.16,12.22,2.1
vila velha,7.0,RU,1578341059.0,83.0,55.38,91.62,-15.05,0.7
conde,0.0,NG,1578341059.0,61.0,6.81,3.2,27.0,1.5
louis trichardt,100.0,ID,1578340828.0,93.0,-3.01,114.39,24.08,0.67
oussouye,0.0,AT,1578340991.0,100.0,48.64,13.53,-1.67,0.86
chicama,99.0,RU,1578341059.0,94.0,57.84,108.35,-9.01,4.46
hofn,0.0,GN,1578341060.0,67.0,9.52,-13.7,25.26,2.05
las vegas,100.0,RU,1578340974.0,75.0,50.68,156.12,-4.88,6.89
birjand,0.0,AU,1578341055.0,77.0,-33.86,121.89,17.0,5.1
banikoara,100.0,GL,1578340786.0,98.0,68.71,-52.87,-22.52,3.69
sale,100.0,NA,1578340850.0,94.0,-17.91,19.77,20.0,2.6
katangli,0.0,NA,1578340993.0,82.0,-22.95,14.51,18.0,3.6
isla vista,40.0,BR,1578340798.0,69.0,-16.02,-48.01,26.11,5.7
henties bay,11.0,RU,1578341060.0,50.0,61.92,159.24,-22.44,1.28
gulshat,100.0,RU,1578340937.0,62.0,53.05,158.65,-4.0,5.0
bridlington,91.0,PG,1578341060.0,94.0,-7.2,146.64,19.17,1.32
pakokku,1.0,NE,1578340987.0,20.0,16.97,7.99,19.0,4.1
anadyr,75.0,US,1578341061.0,27.0,45.79,-108.5,6.11,10.3
pangnirtung,100.0,CN,1578341061.0,92.0,37.02,111.92,-2.96,2.5
sweetwater,1.0,US,1578340955.0,39.0,31.45,-83.51,20.56,2.1
plastun,0.0,ID,1578341061.0,96.0,-1.6,103.62,22.53,1.48
wattegama,34.0,TG,1578341061.0,31.0,8.56,0.98,25.73,0.37
ngukurr,0.0,MX,1578341061.0,17.0,21.65,-99.82,22.85,2.38
masalli,100.0,RU,1578340942.0,87.0,71.64,128.87,-19.76,5.0
campbell river,100.0,AO,1578341061.0,95.0,-17.07,15.73,19.75,3.35
asmara,99.0,RU,1578341061.0,94.0,57.31,88.17,-6.49,3.11
monrovia,7.0,PE,1578340989.0,60.0,-11.1,-77.61,25.06,4.48
